year,ceremony,film,winner,nominated_for_film_editing,awarded_for_film_editing
2016,89,La La Land,FALSE,TRUE,FALSE
2016,89,Lion,FALSE,FALSE,FALSE
2016,89,Manchester by the Sea,FALSE,FALSE,FALSE
2016,89,Moonlight,TRUE,TRUE,FALSE
2017,90,Call Me by Your Name,FALSE,FALSE,FALSE
2017,90,Darkest Hour,FALSE,FALSE,FALSE
2017,90,Dunkirk,FALSE,TRUE,TRUE
2017,90,Get Out,FALSE,FALSE,FALSE
2017,90,Lady Bird,FALSE,FALSE,FALSE
2017,90,Phantom Thread,FALSE,FALSE,FALSE
2017,90,The Post,FALSE,FALSE,FALSE
2017,90,The Shape of Water,TRUE,TRUE,FALSE
2017,90,"Three Billboards outside Ebbing, Missouri",FALSE,TRUE,FALSE
2018,91,Black Panther,FALSE,FALSE,FALSE
2018,91,BlacKkKlansman,FALSE,TRUE,FALSE
2018,91,Bohemian Rhapsody,FALSE,TRUE,TRUE
2018,91,The Favourite,FALSE,TRUE,FALSE
2018,91,Green Book,TRUE,TRUE,FALSE
2018,91,Roma,FALSE,FALSE,FALSE
2018,91,A Star Is Born,FALSE,FALSE,FALSE
2018,91,Vice,FALSE,TRUE,FALSE
2019,92,Ford v Ferrari,FALSE,TRUE,TRUE
2019,92,The Irishman,FALSE,TRUE,FALSE
2019,92,Jojo Rabbit,FALSE,TRUE,FALSE
2019,92,Joker,FALSE,TRUE,FALSE
2019,92,Little Women,FALSE,FALSE,FALSE
2019,92,Marriage Story,FALSE,FALSE,FALSE
2019,92,1917,FALSE,FALSE,FALSE
2019,92,Once upon a Time...in Hollywood,FALSE,FALSE,FALSE
2019,92,Parasite,TRUE,TRUE,FALSE
2020,93,The Father,FALSE,TRUE,FALSE
2020,93,Judas and the Black Messiah,FALSE,FALSE,FALSE
2020,93,Mank,FALSE,FALSE,FALSE
2020,93,Minari,FALSE,FALSE,FALSE
2020,93,Nomadland,TRUE,TRUE,FALSE
2020,93,Promising Young Woman,FALSE,TRUE,FALSE
2020,93,Sound of Metal,FALSE,TRUE,TRUE
