"film","year","ceremony","winner","wiki_link","Running_Time","Budget","Box_Office","Director"
"I'm Still Here",2024,97,FALSE,"https://en.wikipedia.org/wiki/I%27m_Still_Here_(2024_film)","138","$9 million","$36.4 million","Walter Salles"
"Nickel Boys",2024,97,FALSE,"https://en.wikipedia.org/wiki/Nickel_Boys","140","$23.2","$3.2","RaMell Ross"
"The Brutalist",2024,97,FALSE,"https://en.wikipedia.org/wiki/The_Brutalist","215","$9.6 million (","$50.4 million","Brady Corbet"
"The Substance",2024,97,FALSE,"https://en.wikipedia.org/wiki/The_Substance","141","$18 million","$77–82 million","Coralie Fargeat"
"Wicked",2024,97,FALSE,"https://en.wikipedia.org/wiki/Wicked_(2024_film)","160","$150&#160;million",NA,"Jon M. Chu"
"Bugonia",2025,98,FALSE,"https://en.wikipedia.org/wiki/Bugonia_(film)","118","$45–55 million","$43.4 million","Yorgos Lanthimos"
"F1",2025,98,FALSE,"https://en.wikipedia.org/wiki/F1_(film)","155","$200–300 million","$633.4 million","Joseph Kosinski"
"Frankenstein",2025,98,FALSE,"https://en.wikipedia.org/wiki/Frankenstein_(2025_film)","150","$120 million","$480,678","Guillermo del Toro"
"Hamnet",2025,98,FALSE,"https://en.wikipedia.org/wiki/Hamnet_(film)","126","$30 - 35 million","$103 million","Chloé Zhao"
"Marty Supreme",2025,98,FALSE,"https://en.wikipedia.org/wiki/Marty_Supreme","150","$60–70&#160;million","$179.3&#160;million","Josh Safdie"
"One Battle After Another",2025,98,TRUE,"https://en.wikipedia.org/wiki/One_Battle_After_Another","162","$130–175&#160;million","$212.1&#160;million","Paul Thomas Anderson"
"Sentimental Value",2025,98,FALSE,"https://en.wikipedia.org/wiki/Sentimental_Value","133","$7.8 million","$22 million","Joachim Trier"
"Sinners",2025,98,FALSE,"https://en.wikipedia.org/wiki/Sinners_(2025_film)","138","$90–100 million","$370.1 million","Ryan Coogler"
"The Secret Agent",2025,98,FALSE,"https://en.wikipedia.org/wiki/The_Secret_Agent_(2025_film)","161","$22.5 million","$22.5 million","Kleber Mendonça Filho"
"Train Dreams",2025,98,FALSE,"https://en.wikipedia.org/wiki/Train_Dreams_(film)","102","$10 million",NA,"Clint Bentley"
