"","film","year","ceremony","winner","wiki_link","Running_Time_Minutes","Budget_Millions","Box_Office_Millions"
"54","Up",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_(2009_film)",96,175,735.1
"55","Up in the Air",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film)",109,25,166.8
"56","127 Hours",2010,83,FALSE,"https://en.wikipedia.org/wiki/127_Hours",94,18,60.7
"57","Black Swan",2010,83,FALSE,"https://en.wikipedia.org/wiki/Black_Swan_(film)",108,13,330.2
"58","Inception",2010,83,FALSE,"https://en.wikipedia.org/wiki/Inception",148,160,839
"59","The Fighter",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Fighter",116,18,129
"60","The Kids Are All Right",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film)",107,4,34.7
"61","The King's Speech",2010,83,TRUE,"https://en.wikipedia.org/wiki/The_King%27s_Speech",119,15,414.2
"62","The Social Network",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Social_Network",120,40,224.9
"63","Toy Story 3",2010,83,FALSE,"https://en.wikipedia.org/wiki/Toy_Story_3",103,200,1067
"64","True Grit",2010,83,FALSE,"https://en.wikipedia.org/wiki/True_Grit_(2010_film)",110,36.5,252.3
"65","Winter's Bone",2010,83,FALSE,"https://en.wikipedia.org/wiki/Winter%27s_Bone",100,2,16.1
"66","Extremely Loud & Incredibly Close",2011,84,FALSE,"https://en.wikipedia.org/wiki/Extremely_Loud_%26_Incredibly_Close_(film)",129,40,55.2
"67","Hugo",2011,84,FALSE,"https://en.wikipedia.org/wiki/Hugo_(film)",126,160,185.8
"68","Midnight in Paris",2011,84,FALSE,"https://en.wikipedia.org/wiki/Midnight_in_Paris",94,17,151.7
"69","Moneyball",2011,84,FALSE,"https://en.wikipedia.org/wiki/Moneyball_(film)",133,50,110.2
"70","The Artist",2011,84,TRUE,"https://en.wikipedia.org/wiki/The_Artist_(film)",100,15,133.4
"71","The Descendants",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Descendants",115,20,177.2
"72","The Help",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Help_(film)",146,25,221.8
"73","The Tree of Life",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Tree_of_Life_(film)",139,32,61
"74","War Horse",2011,84,FALSE,"https://en.wikipedia.org/wiki/War_Horse_(film)",146,68,177.6
"75","Amour",2012,85,FALSE,"https://en.wikipedia.org/wiki/Amour_(2012_film)",127,9.3,36.8
"76","Argo",2012,85,TRUE,"https://en.wikipedia.org/wiki/Argo_(2012_film)",120,44.5,232.3
"77","Beasts of the Southern Wild",2012,85,FALSE,"https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild",93,1.8,23.3
"78","Django Unchained",2012,85,FALSE,"https://en.wikipedia.org/wiki/Django_Unchained",165,100,449.8
"79","Les Misérables",2012,85,FALSE,"https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film)",158,61,442.8
"80","Life of Pi",2012,85,FALSE,"https://en.wikipedia.org/wiki/Life_of_Pi_(film)",127,120,609
"81","Lincoln",2012,85,FALSE,"https://en.wikipedia.org/wiki/Lincoln_(film)",150,65,275.3
"82","Silver Linings Playbook",2012,85,FALSE,"https://en.wikipedia.org/wiki/Silver_Linings_Playbook",122,21,236.4
"83","Zero Dark Thirty",2012,85,FALSE,"https://en.wikipedia.org/wiki/Zero_Dark_Thirty",157,46.25,132.8
"84","12 Years a Slave",2013,86,TRUE,"https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)",134,21,187.7
"85","American Hustle",2013,86,FALSE,"https://en.wikipedia.org/wiki/American_Hustle",138,40,251
"86","Captain Phillips",2013,86,FALSE,"https://en.wikipedia.org/wiki/Captain_Phillips_(film)",134,55,220.6
"87","Dallas Buyers Club",2013,86,FALSE,"https://en.wikipedia.org/wiki/Dallas_Buyers_Club",117,5,55
"88","Gravity",2013,86,FALSE,"https://en.wikipedia.org/wiki/Gravity_(2013_film)",91,105,723.2
