"year","ceremony","film","winner"
2022,95,"Triangle of Sadness",FALSE
2022,95,"Women Talking",FALSE
2023,96,"American Fiction",FALSE
2023,96,"Anatomy of a Fall",FALSE
2023,96,"Barbie",FALSE
2023,96,"The Holdovers",FALSE
2023,96,"Killers of the Flower Moon",FALSE
2023,96,"Maestro",FALSE
2023,96,"Oppenheimer",TRUE
2023,96,"Past Lives",FALSE
2023,96,"Poor Things",FALSE
2023,96,"The Zone of Interest",FALSE
2024,97,"Anora",TRUE
2024,97,"The Brutalist",FALSE
2024,97,"A Complete Unknown",FALSE
2024,97,"Conclave",FALSE
2024,97,"Dune: Part Two",FALSE
2024,97,"Emilia Pérez",FALSE
2024,97,"I'm Still Here",FALSE
2024,97,"Nickel Boys",FALSE
2024,97,"The Substance",FALSE
2024,97,"Wicked",FALSE
2025,98,"One Battle After Another",TRUE
2025,98,"Bugonia",FALSE
2025,98,"F1",FALSE
2025,98,"Frankenstein",FALSE
2025,98,"Hamnet",FALSE
2025,98,"Marty Supreme",FALSE
2025,98,"The Secret Agent",FALSE
2025,98,"Sentimental Value",FALSE
2025,98,"Sinners",FALSE
2025,98,"Train Dreams",FALSE
