film,director,year,bd_award_no_concurrent,bd_award_yes_concurrent,bd_nominate_no_concurrent,bd_nominate_yes_concurrent,winner
The Grand Budapest Hotel,Wes Anderson,2014,0,0,0,1,FALSE
The Imitation Game,Morten Tyldum,2014,0,0,0,1,FALSE
Selma,Ava DuVernay,2014,0,0,0,0,FALSE
The Theory of Everything,James Marsh,2014,0,0,0,0,FALSE
Whiplash,Damien Chazelle,2014,0,0,0,0,FALSE
The Big Short,Adam McKay,2015,0,0,0,1,FALSE
Bridge of Spies,Steven Spielberg,2015,2,2,5,5,FALSE
Brooklyn,John Crowley,2015,0,0,0,0,FALSE
Mad Max: Fury Road,George Miller,2015,0,0,0,1,FALSE
The Martian,Ridley Scott,2015,0,0,3,3,FALSE
The Revenant,Alejandro González Iñárritu,2015,0,0,1,1,FALSE
Room,Lenny Abrahamson,2015,0,0,0,1,FALSE
Spotlight,Tom McCarthy,2015,0,0,0,1,TRUE
Arrival,Denis Villeneuve,2016,0,0,0,1,FALSE
Fences,Denzel Washington,2016,0,0,0,0,FALSE
Hacksaw Ridge,Mel Gibson,2016,1,1,0,1,FALSE
Hell or High Water,David Mackenzie,2016,0,0,0,0,FALSE
Hidden Figures,Theodore Melfi,2016,0,0,0,0,FALSE
La La Land,Damien Chazelle,2016,0,1,0,0,FALSE
Lion,Garth Davis,2016,0,0,0,0,FALSE
Manchester by the Sea,Kenneth Lonergan,2016,0,0,0,1,FALSE
Moonlight,Barry Jenkins,2016,0,0,0,1,TRUE
Call Me by Your Name,Luca Guadagnino,2017,0,0,0,0,FALSE
Darkest Hour,Joe Wright,2017,0,0,0,0,FALSE
Dunkirk,Christopher Nolan,2017,0,0,0,1,FALSE
Get Out,Jordan Peele,2017,0,0,0,1,FALSE
Lady Bird,Greta Gerwig,2017,0,0,0,1,FALSE
Phantom Thread,Paul Thomas Anderson,2017,0,0,1,2,FALSE
The Post,Steven Spielberg,2017,2,2,5,5,FALSE
The Shape of Water,Guillermo del Toro,2017,0,1,0,0,TRUE
"Three Billboards outside Ebbing, Missouri",Martin McDonagh,2017,0,0,0,0,FALSE
Black Panther,Ryan Coogler,2018,0,0,0,0,FALSE
BlacKkKlansman,Spike Lee,2018,0,0,0,1,FALSE
Bohemian Rhapsody,Bryan Singer,2018,0,0,0,0,FALSE
The Favourite,Yorgos Lanthimos,2018,0,0,0,1,FALSE
Green Book,Peter Farrelly,2018,0,0,0,0,TRUE
Roma,Alfonso Cuarón,2018,1,2,0,0,FALSE
A Star Is Born,Bradley Cooper,2018,0,0,0,0,FALSE
Vice,Adam McKay,2018,0,0,1,2,FALSE
Ford v Ferrari,James Mangold,2019,0,0,0,0,FALSE
The Irishman,Martin Scorsese,2019,1,1,7,8,FALSE
Jojo Rabbit,Taika Waititi,2019,0,0,0,0,FALSE
Joker,Todd Phillips,2019,0,0,0,1,FALSE
Little Women,Greta Gerwig,2019,0,0,1,1,FALSE
Marriage Story,Noah Baumbach,2019,0,0,0,0,FALSE
1917,Sam Mendes,2019,1,1,0,1,FALSE
Once upon a Time...in Hollywood,Quentin Tarantino,2019,0,0,2,3,FALSE
Parasite,Bong Joon Ho,2019,0,0,0,0,TRUE
The Father,Florian Zeller,2020,0,0,0,0,FALSE
Judas and the Black Messiah,Shaka King,2020,0,0,0,0,FALSE
Mank,David Fincher,2020,0,0,2,3,FALSE
Minari,Lee Isaac Chung,2020,0,0,0,1,FALSE
Nomadland,Chloé Zhao,2020,0,1,0,0,TRUE
Promising Young Woman,Emerald Fennell,2020,0,0,0,1,FALSE
Sound of Metal,Darius Marder,2020,0,0,0,0,FALSE
The Trial of the Chicago 7,Aaron Sorkin,2020,0,0,0,0,FALSE
Belfast,Kenneth Branagh,2021,0,0,2,2,FALSE
CODA,Sian Heder,2021,0,0,0,0,TRUE
